stopid,stopname
1003,lehmberg
1005,belvedere
1020,heikendorf-am-heidberg
1050,rungholtplatz
1055,bahnhof-oppendorf
1062,wik-kanal
1064,schilksee-kirche
1069,franziusallee
1070,mühlenweg
1071,carl-loewe-weg-kiellinie
1073,wulfsbrook
1075,krusenrotter-weg
1079,universität
1087,rbz-am-schützenpark
1095,tannenberg
1102,goetheschule
1109,klausdorf-nadelberg
1111,hans-geiger-gymnasium
1115,niemannsweg
1116,feldstraße-waitzstraße
1127,an-der-schanze
1130,homannstraße
1133,hdw
1134,jaegerallee-kanalfähre-
1146,göteborgring
1147,schulensee
1148,russee-kirche
1153,grimmstraße
1162,wellingdorf
1167,weinberg
1169,frerich-frerichs-allee
1181,laboe-ostlandstraße
1184,lubinus-clinicum
1205,tresckowweg
1210,eiderbad
1212,seekante
1213,hohenleuchte
1224,diedrichstraße
1235,kieler-straße
1237,reventloubrücke
1240,hubertus
1242,rarsrott
1245,kleinflintbeker-weg
1246,reichenberger-allee
1254,seefischmarkt
1255,eiderbrücke
1256,andreas-gayk-straße
1271,rathaus-opernhaus
1281,schwentinestraße
1286,gärtnerstraße
1287,nelkenweg
1290,reesenberg
1306,seekamp
1307,adolf-westphal-straße
1312,am-langsee
1317,heischberg
1323,stormarnstraße
1326,stavangerstraße
1335,grot-steenbusch
1341,waldeck
1348,sonthofener-straße
1356,melsdorf-schmiedekoppel
1357,stoschstraße
1359,august-sievers-ring
1368,tröndelweg
1369,ellerbeker-weg
1370,kieler-kuhle
1371,ellerbeker-schule
1372,nienbrügger-weg
1375,ellerbeker-markt
1379,torfende
1383,heikendorf-rührsbrook
1390,gerstenkamp
1393,am-reben
1395,martensdamm
1400,hasselrade
1412,buschkoppel
1413,goldregenholz
1422,sportplatz-wellsee
1432,erlenkampsee
1434,rewe-center
1444,krummbogen
1451,schützenwall-boiestraße
1456,steenbeker-weg
1462,gablenzstraße-hörnbad-
1466,bustorfer-weg
1469,seekoppelweg
1472,redinskamp
1473,düvelsbeker-weg
1477,am-hain
1478,bahnhof-suchsdorf
1487,toni-jensen-schule
1491,universität-westring
1502,bremerskamp
1505,russeer-weg
1508,zeppelinring
1517,dahmeweg
1526,holtenau-schule
1538,am-wohld
1540,metzstraße
1541,ostfriedhof
1545,tüv
1550,klausdorfer-weg-ostring
1564,an-der-au
1573,hermannstraße
1576,prieser-strand
1581,claudiusstraße
1584,kunsthochschule
1594,heikendorf-künstlermuseum
1599,unikliniken
1608,hasselfelde
1621,flüggendorfer-straße
1624,rathaus-kronshagen
1626,schleuse
1627,nixenweg
1629,wrangelstraße
1630,lüderitzstraße
1635,dreikronen
1637,lehmkoppel
1638,schulzentrum-elmschenhagen
1643,gurlittstraße
1655,eckernförder-straße
1657,falckensteiner-strand
1658,seestraße
1668,christianistraße
1675,am-teich
1676,wittland
1677,rönne-dorf
1679,alte-siedlung
1680,schwedendamm
1691,dorfstraße
1692,kirchhofallee
1705,uhlenkrog
1708,husumer-weg
1716,bunsenstraße
1722,laboe-hafen
1724,steindamm
1736,fehrsstraße
1744,nordfriedhof
1745,kunsthalle
1746,lindenhain
1748,kronsburg
1752,heikendorf-kitzeberg
1755,kvg-verwaltung-werftstr-
1758,seelandweg
1769,ahz-stift-stettiner-weg
1770,strucksdiek
1774,ivensring
1776,pudelhütte
1783,heikendorf-gymnasium
1787,braunstraße
1791,schlachthof
1792,meimersdorf-schule
1796,jensendamm
1798,pottberg
